trackAppearanceCount,artistAppearanceCount,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date,Week,Year,End Date Dt,Seconds since Epoch,End Date Aggregated,ArtistCount,main_artist,isTopTen,Artist and Track,rank difference,Position over Time
0,0,14,spotify:track:3w0w2T288dec0mgeZZqoNN,"$, Kanye West, Ty Dolla $ign",CARNIVAL,Ye,14,-1,1,203139,2024-02-15,7,2024,2024-02-15,1707955200.0,2024-02-01,1,$,0,"$, Kanye West, Ty Dolla $ign; CARNIVAL",0,0
0,0,194,spotify:track:3zpGLSQ8QbbUnNjweWPLMD,"$NOT, A$AP Rocky",Doja,300 Entertainment,194,-1,1,23789,2022-02-10,6,2022,2022-02-10,1644451200.0,2022-02-01,1,$NOT,0,"$NOT, A$AP Rocky; Doja",0,0
0,0,182,spotify:track:30QR0ndUdiiMQMA9g1PGCm,$uicideboy$,"...And to Those I Love, Thanks for Sticking Around",G59 Records,182,-1,1,23341,2021-10-07,40,2021,2021-10-07,1633564800.0,2021-10-01,1,$uicideboy$,0,"$uicideboy$; ...And to Those I Love, Thanks for Sticking Around",0,0
0,0,128,spotify:track:3KnHZwV1StOTvtHwpK2gK1,"031CHOPPA, Madumane, Focalistic, Xduppy, Kingtone",Usenemali,031Choppa,128,-1,1,35968,2022-09-08,36,2022,2022-09-08,1662595200.0,2022-09-01,1,031CHOPPA,0,"031CHOPPA, Madumane, Focalistic, Xduppy, Kingtone; Usenemali",0,0
0,0,78,spotify:track:5S1IUPueD0xE0vj4zU3nSf,"2 Chainz, Drake, Quavo",Bigger Than You (feat. Drake & Quavo),Def Jam Recordings,78,-1,1,5994,2018-06-21,25,2018,2018-06-21,1529539200.0,2018-06-01,3,2 Chainz,0,"2 Chainz, Drake, Quavo; Bigger Than You (feat. Drake & Quavo)",0,0
0,0,57,spotify:track:2fQrGHiQOvpL9UgPvtYy6G,21 Savage,Bank Account,"Slaughter Gang, LLC/Epic Records",57,-1,1,1349,2018-03-15,11,2018,2018-03-15,1521072000.0,2018-03-01,1,21 Savage,0,21 Savage; Bank Account,0,0
0,0,198,spotify:track:0c7K73roy6RW4ebDkf4yGh,24kGoldn,VALENTINO,Records/Columbia,198,-1,1,9090,2019-10-17,42,2019,2019-10-17,1571270400.0,2019-10-01,1,24kGoldn,0,24kGoldn; VALENTINO,0,0
0,0,38,spotify:track:3Oy6Mo7uiWeOuK88Efq92V,"25K, A-Reece",Hustlers Prayer (feat. A-Reece),Sound African Recordings,38,-1,1,44418,2021-07-08,27,2021,2021-07-08,1625702400.0,2021-07-01,2,25K,0,"25K, A-Reece; Hustlers Prayer (feat. A-Reece)",0,0
0,0,38,spotify:track:0AY3sNqV7qAdAZ8j6TRVBd,"2Point1, Ntate Stunna, Nthabi Sings",Stimela,Penya Play Productions,38,-1,1,102080,2022-12-29,52,2022,2022-12-29,1672272000.0,2022-12-01,1,2Point1,1,"2Point1, Ntate Stunna, Nthabi Sings; Stimela",0,0
0,0,126,spotify:track:27XMmSWSOXJ7eVb40tH93T,347aidan,MEMORIES!,Columbia,126,-1,1,26754,2021-10-28,43,2021,2021-10-28,1635379200.0,2021-10-01,1,347aidan,0,347aidan; MEMORIES!,0,0
0,0,51,spotify:track:3QS9ZCtoSCJhmaJ7QNXSAS,"4batz, Drake",act ii: date @ 8 (feat. Drake) - remix,4batz / OVO Sound,51,-1,1,124187,2024-03-14,11,2024,2024-03-14,1710374400.0,2024-03-01,2,4batz,0,"4batz, Drake; act ii: date @ 8 (feat. Drake) - remix",0,0
0,0,185,spotify:track:2Pvr8rYuh5J8V7QglJhH6W,5 Seconds of Summer,Want You Back,Capitol,185,-1,1,2119,2018-03-22,12,2018,2018-03-22,1521676800.0,2018-03-01,1,5 Seconds of Summer,0,5 Seconds of Summer; Want You Back,0,0
0,0,100,spotify:track:6g1lGlApRBJD8pPNmMgQ9Z,6LACK,Switch,LVRN Records,100,-1,1,4974,2018-06-28,26,2018,2018-06-28,1530144000.0,2018-06-01,1,6LACK,0,6LACK; Switch,0,0
0,0,191,spotify:track:6kp0inxIexxSiDJfWqq0ZL,"6ix9ine, DJ SpinKing",TATI,"Scumgang Records/TenThousand Projects, LLC",191,-1,1,3195,2018-06-07,23,2018,2018-06-07,1528329600.0,2018-06-01,1,6ix9ine,0,"6ix9ine, DJ SpinKing; TATI",0,0
